Setting Name,Uiorder,MVNO Type,MVNO Value,MCC,MNC,Account Type,APN,Access Type,Access Option,Proxy Server IP,Port,User Name,Password,First DNS,Second DNS,Home Page,Auth Type,Reserved,Visible,Roaming,roaming_protocol
Cosmote Internet,5,,,202,1,0,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Cosmote Internet,5,,,202,1,7,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Cosmote Internet,5,,,202,1,8,internet,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,0
Cosmote MMS,5,,,202,1,1,mms,1,0,10.10.10.20,8080,,,0.0.0.0,0.0.0.0,http://mmsc.cosmote.gr:8002,0,0,TRUE,FALSE,0
Vf Internet,5,,,202,5,0,internet.vodafone.gr,1,1,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Vf Internet,5,,,202,5,7,internet.vodafone.gr,1,1,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Vf Internet,5,,,202,5,8,internet.vodafone.gr,1,1,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Vf MMS,5,,,202,5,1,mms.vodafone.net,1,1,213.249.19.49,5080,user,pass,0.0.0.0,0.0.0.0,http://mms.vodafone.gr,0,0,TRUE,FALSE,0
Q Internet,5,,,202,9,0,myq,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Q Internet,5,,,202,9,7,myq,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Q-Telecom MMS GPRS,5,,,202,9,1,q-mms.myq.gr,1,0,192.168.80.134,8080,,,0.0.0.0,0.0.0.0,http://mms.myq.gr,0,0,TRUE,FALSE,0
Wind Internet,5,,,202,10,0,gint.b-online.gr,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Wind Internet,5,,,202,10,7,gint.b-online.gr,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Wind MMS,5,,,202,10,1,mnet.b-online.gr,1,0,192.168.200.11,9401,,,0.0.0.0,0.0.0.0,http://192.168.200.95/servlets/mms,0,0,TRUE,FALSE,0
Tele2 Internet,5,,,204,2,0,internet.tele2.nl,1,0,,,,,0.0.0.0,0.0.0.0,http://mmsc.tele2.nl,0,0,TRUE,FALSE,0
Tele2 Internet,5,,,204,2,7,internet.tele2.nl,1,0,,,,,0.0.0.0,0.0.0.0,http://mmsc.tele2.nl,0,0,TRUE,FALSE,0
Tele2 Internet,5,,,204,2,1,internet.tele2.nl,1,0,193.12.40.64,8080,,,0.0.0.0,0.0.0.0,http://mmsc.tele2.nl,0,0,TRUE,FALSE,0
Tele2 Internet,5,,,204,2,8,internet.tele2.nl,1,0,,,,,0.0.0.0,0.0.0.0,http://mmsc.tele2.nl,0,0,TRUE,FALSE,0
MVNO NL,5,imsi,20403,204,3,0,internet.mvno.mobi,1,0,,,mvno,mvno,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
MVNO NL,5,imsi,20403,204,3,7,internet.mvno.mobi,1,0,,,mvno,mvno,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Truphone,5,imsi,204043914,204,4,0,truphone.com,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Truphone,5,imsi,204043914,204,4,7,truphone.com,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Truphone,5,imsi,20404794,204,4,0,truphone.com,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Truphone,5,imsi,20404794,204,4,7,truphone.com,1,0,,,,,0.0.0.0,0.0.0.0,,0,0,TRUE,FALSE,0
Internet,5,,,204,4,0,live.vodafone.com,1,0,,,vodafone,vodafone,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Internet,5,,,204,4,7,live.vodafone.com,1,0,,,vodafone,vodafone,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
Internet,5,,,204,4,8,live.vodafone.com,1,0,,,vodafone,vodafone,0.0.0.0,0.0.0.0,,1,0,TRUE,FALSE,0
EHRPD - VZW Roaming Internet,5,gid,BAE0000000000000,204,4,0,VZWINTERNET,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
LTE - VZW Roaming Internet,5,gid,BAE0000000000000,204,4,0,VZWINTERNET,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
LTE - VZW Roaming IMS,5,gid,BAE0000000000000,204,4,5,VZWIMS,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
LTE - VZW Roaming IMS,5,gid,BAE0000000000000,204,4,6,VZWIMS,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
EHRPD - VZW Roaming IMS,5,gid,BAE0000000000000,204,4,5,VZWIMS,1,0,,,,,0.0.0.0,0.0.0.0,,0,2,TRUE,FALSE,2
