,,Function 0,Function 1,Function 2,Function 3,Function 4,Function 5,Function 6,Function 7
pad_spi_flash_clk_cfg_reg:pad_spi_flash_cfg1:7:spu:drv4,spi_flash_clk,spi_flash_clk,,,,,,,
pad_spi_flash_cs_cfg_reg:pad_spi_flash_cfg1:0:spu:drv4,spi_flash_cs,spi_flash_cs,,,,,,,
pad_spi_flash_sel_cfg_reg:pad_spi_flash_cfg1:14:spu:drv4,spi_flash_sel,spi_flash_sel,,,,,,,
pad_spi_flash_sio_0_cfg_reg:pad_spi_flash_cfg2:21:spu:drv4,spi_flash_sio_0,spi_flash_sio_0,,,,,,,
pad_spi_flash_sio_1_cfg_reg:pad_spi_flash_cfg2:14:spu:drv4,spi_flash_sio_1,spi_flash_sio_1,gpio_29,,,,,,
pad_spi_flash_sio_2_cfg_reg:pad_spi_flash_cfg2:7:spu:drv4,spi_flash_sio_2,spi_flash_sio_2,gpio_30,,,,,,
pad_spi_flash_sio_3_cfg_reg:pad_spi_flash_cfg2:0:spu:drv4,spi_flash_sio_3,spi_flash_sio_3,gpio_31,,,,,,
pad_sdmmc1_clk_cfg_reg:pad_sdmmc1_others_cfg:7:spu:drv4,sdmmc1_clk,sdmmc1_clk,,camera_ref_clk,,,,,spi_2_cs_0
pad_sdmmc1_cmd_cfg_reg:pad_sdmmc1_others_cfg:0:spu:drv4,sdmmc1_cmd,sdmmc1_cmd,gpio_24,camera_rst_l,i2c_m3_scl,,,,
pad_sdmmc1_data_0_cfg_reg:pad_sdmmc1_data_cfg:21:spu:drv4,sdmmc1_data_0,sdmmc1_data_0,gpio_25,camera_pwdn,i2c_m3_sda,,uart_2_rxd,uart_3_cts,
pad_sdmmc1_data_1_cfg_reg:pad_sdmmc1_data_cfg:14:spu:drv4,sdmmc1_data_1,sdmmc1_data_1,gpio_26,spi_camera_si_0,spi_camera_si_1,,uart_2_txd,uart_3_rts,spi_2_clk
pad_sdmmc1_data_2_cfg_reg:pad_sdmmc1_data_cfg:7:spu:drv4,sdmmc1_data_2,sdmmc1_data_2,gpio_27,spi_camera_si_1,spi_camera_si_0,spi_camera_ssn,uart_2_cts,uart_3_rxd,spi_2_dio_0
pad_sdmmc1_data_3_cfg_reg:pad_sdmmc1_data_cfg:0:spu:drv4,sdmmc1_data_3,sdmmc1_data_3,gpio_28,spi_camera_sck,,,uart_2_rts,uart_3_txd,spi_2_di_1
pad_aud_da_sync_cfg_reg:pad_aud_ad_cfg:5:wpus:drv2,aud_da_sync,aud_da_sync,i2s1_bck,gpio_27,,,,,
pad_aud_da_d1_cfg_reg:pad_aud_ad_cfg:10:wpus:drv2,aud_da_d1,aud_da_d1,i2s1_lrck,gpio_28,,,,,
pad_aud_da_d0_cfg_reg:pad_aud_ad_cfg:15:wpus:drv2,aud_da_d0,aud_da_d0,i2s1_sdat_i,gpio_29,,,,,
pad_aud_ad_sync_cfg_reg:pad_aud_ad_cfg:20:wpus:drv2,aud_ad_sync,aud_ad_sync,i2s1_sdat_o,gpio_30,,,,,
pad_aud_ad_d0_cfg_reg:pad_aud_ad_cfg:25:wpus:drv2,aud_ad_d0,aud_ad_d0,,gpio_31,,,,,
pad_aud_sclk_cfg_reg:pad_aud_ad_cfg:0:wpus:drv2,aud_sclk,aud_sclk,,,,,,,
pad_adi_sda_cfg_reg:pad_adi_cfg:5:wpus:drv2,adi_sda,adi_sda,,,,,,,
pad_adi_sync_cfg_reg:pad_adi_cfg:0:wpus:drv2,adi_sync,adi_sync,,,,,,,
pad_adi_scl_cfg_reg:pad_adi_cfg:10:wpus:drv2,adi_scl,adi_scl,,,,,,,
pad_spi_lcd_sio_cfg_reg:pad_spi_lcd_cfg2:0:spu:drv4,spi_lcd_sio,spi_lcd_sio,gpio_0,spi_flash1_clk,,,,,debug_bus_5
pad_spi_lcd_sdc_cfg_reg:pad_spi_lcd_cfg2:14:spu:drv4,spi_lcd_sdc,spi_lcd_sdc,gpio_1,spi_flash1_cs,i2c_m3_sda,,,,debug_bus_6
pad_spi_lcd_clk_cfg_reg:pad_spi_lcd_cfg1:7:spu:drv4,spi_lcd_clk,spi_lcd_clk,gpio_2,spi_flash1_sio_0,,,,,debug_bus_7
pad_spi_lcd_cs_cfg_reg:pad_spi_lcd_cfg1:0:spu:drv4,spi_lcd_cs,spi_lcd_cs,gpio_3,spi_flash1_sio_1,,,,,debug_bus_8
pad_spi_lcd_select_cfg_reg:pad_spi_lcd_cfg2:7:spu:drv4,spi_lcd_select,spi_lcd_select,gpio_4,spi_flash1_sio_2,,,,,debug_bus_9
pad_lcd_fmark_cfg_reg:pad_lcd_cfg:7:spu:drv2,lcd_fmark,lcd_fmark,gpio_5,spi_flash1_sio_3,,uart_2_txd,,,debug_bus_10
pad_lcd_rstb_cfg_reg:pad_lcd_cfg:0:spu:drv2,lcd_rstb,lcd_rstb,gpio_6,,i2c_m3_scl,uart_2_rxd,,,debug_bus_11
pad_i2c_m1_scl_cfg_reg:pad_i2c_cfg:15:wpus:drv2,i2c_m1_scl,i2c_m1_scl,,,,gpio_16,,,debug_bus_0
pad_i2c_m1_sda_cfg_reg:pad_i2c_cfg:10:wpus:drv2,i2c_m1_sda,i2c_m1_sda,,,,gpio_17,,,debug_bus_1
pad_camera_rst_l_cfg_reg:pad_camera_cfg:0:wpus:drv2,camera_rst_l,camera_rst_l,i2c_m1_scl,,,gpio_18,,,debug_bus_2
pad_camera_pwdn_cfg_reg:pad_camera_cfg:10:wpus:drv2,camera_pwdn,camera_pwdn,i2c_m1_sda,,,gpio_19,,,debug_bus_3
pad_camera_ref_clk_cfg_reg:pad_camera_cfg:5:wpus:drv2,camera_ref_clk,camera_ref_clk,,,spi_lvds_di,gpio_20,,,debug_bus_4
pad_spi_camera_si_0_cfg_reg:pad_spi_camera_cfg:5:wpus:drv2,spi_camera_si_0,spi_camera_si_0,spi_camera_si_1,,spi_lvds_do,gpio_21,,,debug_bus_5
pad_spi_camera_si_1_cfg_reg:pad_spi_camera_cfg:0:wpus:drv2,spi_camera_si_1,spi_camera_si_1,spi_camera_si_0,spi_camera_ssn,spi_lvds_cs,gpio_22,,,debug_bus_6
pad_spi_camera_sck_cfg_reg:pad_spi_camera_cfg:10:wpus:drv2,spi_camera_sck,spi_camera_sck,,,spi_lvds_clk,gpio_23,,,debug_bus_7
pad_gpio_13_cfg_reg:pad_gpio13_cfg:0:wpus:drv2,gpio_13,gpio_13,pwm_lpg_out,,,,,,
pad_gpio_0_cfg_reg:pad_gpio_cfg1:15:wpus:drv2,gpio_0,gpio_0,spi_flash1_clk,spi_2_clk,i2s2_bck,wcn_jtag_tck,uart_rxd_rf,,debug_clk
pad_gpio_1_cfg_reg:pad_gpio_cfg1:10:wpus:drv2,gpio_1,gpio_1,spi_flash1_cs,spi_2_cs_0,i2s2_lrck,wcn_jtag_trst,uart_txd_rf,,debug_bus_0
pad_gpio_2_cfg_reg:pad_gpio_cfg1:5:wpus:drv2,gpio_2,gpio_2,spi_flash1_sio_0,spi_2_dio_0,i2s2_sdat_i,wcn_jtag_tms,wcn_hst_txd,,debug_bus_1
pad_gpio_3_cfg_reg:pad_gpio_cfg1:0:wpus:drv2,gpio_3,gpio_3,spi_flash1_sio_1,spi_2_di_1,i2s2_sdat_o,wcn_jtag_tdi,wcn_hst_rxd,,debug_bus_2
pad_gpio_4_cfg_reg:pad_gpio_cfg2:10:wpus:drv2,gpio_4,gpio_4,spi_flash1_sio_2,spi_2_cs_1,pwl_out_0,wcn_jtag_tdo,,i2c_m3_scl,debug_bus_3
pad_gpio_5_cfg_reg:pad_gpio_cfg2:5:wpus:drv2,gpio_5,gpio_5,spi_flash1_sio_3,pwt_out,lcd_fmark,wcn_uart_rts,wcn_uart_txd,i2c_m3_sda,debug_bus_4
NULL,gpio_6,gpio_6,,,,,,,
pad_gpio_7_cfg_reg:pad_gpio_cfg2:0:wpus:drv2,gpio_7,gpio_7,sdmmc2_clk,spi_1_clk,pwl_out_1,wcn_uart_cts,wcn_uart_rxd,,
pad_ap_jtag_tck_cfg_reg:pad_ap_jtag_cfg:20:wpus:drv2,ap_jtag_tck,ap_jtag_tck,sdmmc2_cmd,spi_1_cs_0,zsp_jtag_tck,rfdig_jtag_tck,gpio_8,,
pad_ap_jtag_trst_cfg_reg:pad_ap_jtag_cfg:0:wpus:drv2,ap_jtag_trst,ap_jtag_trst,sdmmc2_data_0,spi_1_dio_0,zsp_jtag_trst,rfdig_jtag_trst,gpio_9,,
