library name,text,rodata,data,bss,code,flash,ram
lib\libhal.a,15088,5452,16,512,20540,20556,528
lib\libkernel.a,20356,1115,14,74138,21471,21485,74152
lib\libdriver.a,79046,15226,1415,6871,94272,95687,8286
lib\libosi_lib.a,8284,148,0,74189,8432,8432,74189
..\..\components\newlib\armca5\libc.a,47694,3093,1534,47,50787,52321,1581
..\..\components\ql-kernel\libs\libq_modem.a,1548,870,0,0,2418,2418,0
..\..\components\ql-kernel\libs\libq_usbnet.a,2416,1126,20,12,3542,3562,32
..\..\components\ql-kernel\libs\libql_api_bt.a,30062,16349,272,260,46411,46683,532
..\..\components\ql-kernel\libs\libql_api_camera.a,1144,1055,0,52,2199,2199,52
..\..\components\ql-kernel\libs\libql_api_common.a,188,45,1,0,233,234,1
..\..\components\ql-kernel\libs\libql_api_datacall.a,5524,2843,0,40,8367,8367,40
..\..\components\ql-kernel\libs\libql_api_dev.a,1372,532,0,0,1904,1904,0
..\..\components\ql-kernel\libs\libql_api_drivers.a,9856,4364,78,302,14220,14298,380
..\..\components\ql-kernel\libs\libql_api_fota.a,1568,1106,2,0,2674,2676,2
..\..\components\ql-kernel\libs\libql_api_fs.a,5020,2418,108,12,7438,7546,120
..\..\components\ql-kernel\libs\libql_api_ftp.a,3358,682,8,0,4040,4048,8
..\..\components\ql-kernel\libs\libql_api_http.a,1932,407,0,4,2339,2339,4
..\..\components\ql-kernel\libs\libql_api_mqtt.a,2238,272,0,20,2510,2510,20
..\..\components\ql-kernel\libs\libql_api_nw.a,6292,2901,48,20,9193,9241,68
..\..\components\ql-kernel\libs\libql_api_osi.a,5330,2927,20,20,8257,8277,40
..\..\components\ql-kernel\libs\libql_api_power.a,1832,1387,6,10,3219,3225,16
..\..\components\ql-kernel\libs\libql_api_rtc.a,1502,1536,76,28,3038,3114,104
..\..\components\ql-kernel\libs\libql_api_sim.a,3732,1213,0,1,4945,4945,1
..\..\components\ql-kernel\libs\libql_api_sms.a,7228,2184,212,5,9412,9624,217
..\..\components\ql-kernel\libs\libql_api_spi.a,1650,600,0,16,2250,2250,16
..\..\components\ql-kernel\libs\libql_api_spi_flash.a,2094,877,4,0,2971,2975,4
..\..\components\ql-kernel\libs\libql_api_virt_at.a,1200,822,0,4,2022,2022,4
..\..\components\ql-kernel\libs\libql_api_voice_call.a,4006,1275,80,4,5281,5361,84
..\..\components\ql-kernel\libs\libql_api_volte.a,552,394,0,3,946,946,3
..\..\components\ql-kernel\libs\libql_apptcpip.a,658,0,0,600,658,658,600
..\..\components\ql-kernel\libs\libql_at.a,47170,20064,1308,863,67234,68542,2171
..\..\components\ql-kernel\libs\libql_audio.a,5796,2479,4,131,8275,8279,135
..\..\components\ql-kernel\libs\libql_bsp.a,6302,2472,667,902,8774,9441,1569
