object name,library name,text,rodata,data,bss,code,flash,ram
hal_delay.c.obj,lib\libhal.a,100,0,0,0,100,100,0
hal_reg_apply.c.obj,lib\libhal.a,86,0,0,0,86,86,0
portASM.S.obj,lib\libkernel.a,664,0,0,0,664,664,0
port.c.obj,lib\libkernel.a,216,8,0,12,224,224,12
osi_irq.c.obj,lib\libkernel.a,808,0,0,1312,808,808,1312
osi_profile.c.obj,lib\libkernel.a,472,0,0,49172,472,472,49172
hal_chip_8910.c.obj,lib\libhal.a,1282,134,0,5,1416,1416,5
osi_blue_screen.c.obj,lib\libkernel.a,272,16,0,146,288,288,146
osi_chip_8910.c.obj,lib\libkernel.a,1986,422,0,48,2408,2408,48
drv_spi_flash.c.obj,lib\libdriver.a,216,108,136,996,324,460,1132
hal_spi_flash.c.obj,lib\libhal.a,0,300,0,0,300,300,0
osi_log.c.obj,lib\libosi_lib.a,1496,55,0,85,1551,1551,85
osi_trace.c.obj,lib\libosi_lib.a,492,0,0,65896,492,492,65896
lib_a-atoi.o,..\..\components\newlib\armca5\libc.a,8,0,0,0,8,8,0
lib_a-atol.o,..\..\components\newlib\armca5\libc.a,8,0,0,0,8,8,0
lib_a-bsearch.o,..\..\components\newlib\armca5\libc.a,70,0,0,0,70,70,0
lib_a-ctype_.o,..\..\components\newlib\armca5\libc.a,0,257,0,0,257,257,0
lib_a-div.o,..\..\components\newlib\armca5\libc.a,48,0,0,0,48,48,0
lib_a-dtoa.o,..\..\components\newlib\armca5\libc.a,2934,13,0,0,2947,2947,0
lib_a-envlock.o,..\..\components\newlib\armca5\libc.a,24,0,0,0,24,24,0
lib_a-errno.o,..\..\components\newlib\armca5\libc.a,12,0,0,0,12,12,0
lib_a-fclose.o,..\..\components\newlib\armca5\libc.a,184,0,0,0,184,184,0
lib_a-fflush.o,..\..\components\newlib\armca5\libc.a,394,0,0,0,394,394,0
lib_a-fileno.o,..\..\components\newlib\armca5\libc.a,84,0,0,0,84,84,0
lib_a-findfp.o,..\..\components\newlib\armca5\libc.a,404,0,0,0,404,404,0
lib_a-flags.o,..\..\components\newlib\armca5\libc.a,108,0,0,0,108,108,0
lib_a-fopen.o,..\..\components\newlib\armca5\libc.a,184,0,0,0,184,184,0
lib_a-fputc.o,..\..\components\newlib\armca5\libc.a,86,0,0,0,86,86,0
lib_a-fputwc.o,..\..\components\newlib\armca5\libc.a,212,0,0,0,212,212,0
lib_a-fread.o,..\..\components\newlib\armca5\libc.a,240,0,0,0,240,240,0
lib_a-fseek.o,..\..\components\newlib\armca5\libc.a,24,0,0,0,24,24,0
lib_a-fseeko.o,..\..\components\newlib\armca5\libc.a,664,0,0,0,664,664,0
lib_a-ftell.o,..\..\components\newlib\armca5\libc.a,16,0,0,0,16,16,0
lib_a-ftello.o,..\..\components\newlib\armca5\libc.a,192,0,0,0,192,192,0
lib_a-fvwrite.o,..\..\components\newlib\armca5\libc.a,660,0,0,0,660,660,0
lib_a-fwalk.o,..\..\components\newlib\armca5\libc.a,124,0,0,0,124,124,0
lib_a-fwrite.o,..\..\components\newlib\armca5\libc.a,184,0,0,0,184,184,0
lib_a-gdtoa-gethex.o,..\..\components\newlib\armca5\libc.a,1316,0,0,0,1316,1316,0
lib_a-gdtoa-hexnan.o,..\..\components\newlib\armca5\libc.a,388,0,0,0,388,388,0
lib_a-getenv.o,..\..\components\newlib\armca5\libc.a,24,0,0,0,24,24,0
lib_a-getenv_r.o,..\..\components\newlib\armca5\libc.a,130,0,0,0,130,130,0
lib_a-gettzinfo.o,..\..\components\newlib\armca5\libc.a,8,0,88,0,8,96,88
lib_a-gmtime.o,..\..\components\newlib\armca5\libc.a,16,0,0,0,16,16,0
lib_a-gmtime_r.o,..\..\components\newlib\armca5\libc.a,412,0,0,0,412,412,0
lib_a-impure.o,..\..\components\newlib\armca5\libc.a,0,4,1068,0,4,1072,1068
lib_a-iswspace.o,..\..\components\newlib\armca5\libc.a,6,0,0,0,6,6,0
lib_a-iswspace_l.o,..\..\components\newlib\armca5\libc.a,20,0,0,0,20,20,0
lib_a-itoa.o,..\..\components\newlib\armca5\libc.a,52,0,0,0,52,52,0
lib_a-lnumeric.o,..\..\components\newlib\armca5\libc.a,0,15,2,0,15,17,2
lib_a-locale.o,..\..\components\newlib\armca5\libc.a,12,8,364,0,20,384,364
lib_a-localeconv.o,..\..\components\newlib\armca5\libc.a,8,0,0,0,8,8,0
lib_a-lock.o,..\..\components\newlib\armca5\libc.a,12,0,0,9,12,12,9
lib_a-makebuf.o,..\..\components\newlib\armca5\libc.a,210,0,0,0,210,210,0
lib_a-mbrtowc.o,..\..\components\newlib\armca5\libc.a,52,1,0,0,53,53,0
lib_a-mbtowc_r.o,..\..\components\newlib\armca5\libc.a,36,0,0,0,36,36,0
lib_a-memchr.o,..\..\components\newlib\armca5\libc.a,232,0,0,0,232,232,0
lib_a-memcmp.o,..\..\components\newlib\armca5\libc.a,92,0,0,0,92,92,0
lib_a-memcpy-stub.o,..\..\components\newlib\armca5\libc.a,200,0,0,0,200,200,0
lib_a-memmem.o,..\..\components\newlib\armca5\libc.a,1064,0,0,0,1064,1064,0
lib_a-memmove.o,..\..\components\newlib\armca5\libc.a,212,0,0,0,212,212,0
lib_a-memset.o,..\..\components\newlib\armca5\libc.a,168,0,0,0,168,168,0
lib_a-mktime.o,..\..\components\newlib\armca5\libc.a,1212,96,0,0,1308,1308,0
lib_a-month_lengths.o,..\..\components\newlib\armca5\libc.a,0,96,0,0,96,96,0
lib_a-mprec.o,..\..\components\newlib\armca5\libc.a,2090,252,0,0,2342,2342,0
lib_a-perror.o,..\..\components\newlib\armca5\libc.a,268,40,0,0,308,308,0
lib_a-printf.o,..\..\components\newlib\armca5\libc.a,36,0,0,0,36,36,0
lib_a-putc.o,..\..\components\newlib\armca5\libc.a,104,0,0,0,104,104,0
lib_a-puts.o,..\..\components\newlib\armca5\libc.a,156,50,0,0,206,206,0
lib_a-qsort.o,..\..\components\newlib\armca5\libc.a,808,0,0,0,808,808,0
lib_a-rand.o,..\..\components\newlib\armca5\libc.a,80,0,0,0,80,80,0
lib_a-reent.o,..\..\components\newlib\armca5\libc.a,146,0,0,0,146,146,0
lib_a-refill.o,..\..\components\newlib\armca5\libc.a,278,0,0,0,278,278,0
lib_a-s_frexp.o,..\..\components\newlib\armca5\libc.a,112,0,0,0,112,112,0
lib_a-s_nan.o,..\..\components\newlib\armca5\libc.a,16,0,0,0,16,16,0
lib_a-sccl.o,..\..\components\newlib\armca5\libc.a,116,0,0,0,116,116,0
lib_a-sf_nan.o,..\..\components\newlib\armca5\libc.a,12,0,0,0,12,12,0
lib_a-siscanf.o,..\..\components\newlib\armca5\libc.a,84,0,0,0,84,84,0
lib_a-snprintf.o,..\..\components\newlib\armca5\libc.a,104,0,0,0,104,104,0
lib_a-sprintf.o,..\..\components\newlib\armca5\libc.a,64,0,0,0,64,64,0
lib_a-sscanf.o,..\..\components\newlib\armca5\libc.a,84,0,0,0,84,84,0
lib_a-stdio.o,..\..\components\newlib\armca5\libc.a,140,0,0,0,140,140,0
lib_a-strcasecmp.o,..\..\components\newlib\armca5\libc.a,68,0,0,0,68,68,0
lib_a-strcat.o,..\..\components\newlib\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strchr.o,..\..\components\newlib\armca5\libc.a,208,0,0,0,208,208,0
lib_a-strcmp.o,..\..\components\newlib\armca5\libc.a,732,0,0,0,732,732,0
lib_a-strcpy.o,..\..\components\newlib\armca5\libc.a,196,0,0,0,196,196,0
lib_a-strcspn.o,..\..\components\newlib\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strdup.o,..\..\components\newlib\armca5\libc.a,16,0,0,0,16,16,0
lib_a-strdup_r.o,..\..\components\newlib\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strerror.o,..\..\components\newlib\armca5\libc.a,1152,1792,0,0,2944,2944,0
lib_a-strlen.o,..\..\components\newlib\armca5\libc.a,220,0,0,0,220,220,0
lib_a-strncasecmp.o,..\..\components\newlib\armca5\libc.a,84,0,0,0,84,84,0
lib_a-strncat.o,..\..\components\newlib\armca5\libc.a,92,0,0,0,92,92,0
lib_a-strncmp.o,..\..\components\newlib\armca5\libc.a,132,0,0,0,132,132,0
lib_a-strncpy.o,..\..\components\newlib\armca5\libc.a,116,0,0,0,116,116,0
lib_a-strndup.o,..\..\components\newlib\armca5\libc.a,20,0,0,0,20,20,0
lib_a-strndup_r.o,..\..\components\newlib\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strnlen.o,..\..\components\newlib\armca5\libc.a,44,0,0,0,44,44,0
lib_a-strnstr.o,..\..\components\newlib\armca5\libc.a,60,0,0,0,60,60,0
lib_a-strrchr.o,..\..\components\newlib\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strspn.o,..\..\components\newlib\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strstr.o,..\..\components\newlib\armca5\libc.a,1092,0,0,0,1092,1092,0
lib_a-strtod.o,..\..\components\newlib\armca5\libc.a,3020,130,0,0,3150,3150,0
lib_a-strtok.o,..\..\components\newlib\armca5\libc.a,20,0,0,0,20,20,0
lib_a-strtok_r.o,..\..\components\newlib\armca5\libc.a,112,0,0,0,112,112,0
lib_a-strtol.o,..\..\components\newlib\armca5\libc.a,260,0,0,0,260,260,0
lib_a-strtoll.o,..\..\components\newlib\armca5\libc.a,324,0,0,0,324,324,0
lib_a-strtoul.o,..\..\components\newlib\armca5\libc.a,268,0,0,0,268,268,0
lib_a-strtoull.o,..\..\components\newlib\armca5\libc.a,312,0,0,0,312,312,0
lib_a-svfiprintf.o,..\..\components\newlib\armca5\libc.a,234,0,0,0,234,234,0
lib_a-svfiscanf.o,..\..\components\newlib\armca5\libc.a,4158,34,0,0,4192,4192,0
lib_a-svfprintf.o,..\..\components\newlib\armca5\libc.a,4884,78,0,0,4962,4962,0
lib_a-svfscanf.o,..\..\components\newlib\armca5\libc.a,4796,39,0,0,4835,4835,0
lib_a-time.o,..\..\components\newlib\armca5\libc.a,38,0,0,0,38,38,0
lib_a-tzcalc_limits.o,..\..\components\newlib\armca5\libc.a,340,0,0,0,340,340,0
lib_a-tzlock.o,..\..\components\newlib\armca5\libc.a,24,0,0,0,24,24,0
lib_a-tzset.o,..\..\components\newlib\armca5\libc.a,12,0,0,0,12,12,0
lib_a-tzset_r.o,..\..\components\newlib\armca5\libc.a,772,56,0,26,828,828,26
lib_a-tzvars.o,..\..\components\newlib\armca5\libc.a,0,4,8,8,4,12,16
lib_a-u_strerr.o,..\..\components\newlib\armca5\libc.a,4,0,0,0,4,4,0
lib_a-ungetc.o,..\..\components\newlib\armca5\libc.a,112,0,0,0,112,112,0
lib_a-utoa.o,..\..\components\newlib\armca5\libc.a,120,37,0,0,157,157,0
lib_a-vfiprintf.o,..\..\components\newlib\armca5\libc.a,104,0,0,0,104,104,0
lib_a-vfprintf.o,..\..\components\newlib\armca5\libc.a,5200,91,0,0,5291,5291,0
lib_a-vsnprintf.o,..\..\components\newlib\armca5\libc.a,116,0,0,0,116,116,0
lib_a-wbuf.o,..\..\components\newlib\armca5\libc.a,146,0,0,0,146,146,0
lib_a-wcrtomb.o,..\..\components\newlib\armca5\libc.a,44,0,0,0,44,44,0
lib_a-wctomb_r.o,..\..\components\newlib\armca5\libc.a,26,0,0,0,26,26,0
lib_a-wsetup.o,..\..\components\newlib\armca5\libc.a,176,0,0,0,176,176,0
lib_a-xpg_strerror_r.o,..\..\components\newlib\armca5\libc.a,100,0,0,0,100,100,0
quec_modem_interface.c.obj,..\..\components\ql-kernel\libs\libq_modem.a,1548,870,0,0,2418,2418,0
quec_usbnet.c.obj,..\..\components\ql-kernel\libs\libq_usbnet.a,2416,1126,20,12,3542,3562,32
ql_api_bt.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,11408,4916,0,137,16324,16324,137
ql_bt_a2dp.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,1254,708,16,32,1962,1978,48
ql_bt_avrcp.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,1664,974,16,11,2638,2654,27
ql_bt_hfp.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,2948,1620,60,26,4568,4628,86
ql_gatt_client.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,5748,3598,108,16,9346,9454,124
ql_gatt_server.c.obj,..\..\components\ql-kernel\libs\libql_api_bt.a,7040,4533,72,38,11573,11645,110
ql_api_camera.c.obj,..\..\components\ql-kernel\libs\libql_api_camera.a,1144,1055,0,52,2199,2199,52
ql_log.c.obj,..\..\components\ql-kernel\libs\libql_api_common.a,188,45,1,0,233,234,1
ql_api_datacall.c.obj,..\..\components\ql-kernel\libs\libql_api_datacall.a,5524,2843,0,40,8367,8367,40
ql_api_dev.c.obj,..\..\components\ql-kernel\libs\libql_api_dev.a,1372,532,0,0,1904,1904,0
ql_adc.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,300,0,2,0,300,302,2
ql_gpio.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,2460,786,0,128,3246,3246,128
ql_i2c.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,428,376,24,0,804,828,24
ql_keypad.c.obj,..\..\components\ql-kernel\libs\libql_api_drivers.a,322,299,0,0,621,621,0
