section name,section type,size
.sramboottext,text,186
.text,text,235708
.text.prvTaskExitError,text,8
.text.pxPortInitialiseStack,text,148
.text.xPortStartScheduler,text,60
.rodata.ulICCEOIR,rodata,4
.rodata.ulICCIAR,rodata,4
.text.prvGicEnable,text,248
.text.osiIrqSuspend,text,148
.text.osiIrqResume,text,8
.text.osiIrqSetHandler,text,28
.text.osiIrqEnable,text,52
.text.osiIrqInit,text,136
.text.osiIrqDisable,text,56
.text.osiIrqSetPriority,text,56
.text.vApplicationIRQHandler,text,60
.text.osiProfileInit,text,36
.text.osiProfileSetMode,text,36
.text.osiProfileCode,text,148
.text.osiProfileEnter,text,8
.text.osiProfileExit,text,8
.text.osiProfileThreadEnter,text,18
.text.osiProfileThreadExit,text,2
.text.osiProfileIrqEnter,text,18
.text.osiProfileIrqExit,text,22
.text.osiProfileLinearBuf,text,92
.text.osiProfileGetLastest,text,84
.sramtext,text,674
.ramtext.flashdrv.174,ignore,70
.ramtext.flashdrv.330,ignore,54
.ramtext.flashdrv.284,ignore,186
.ramtext.flashdrv.358,ignore,76
.ramtext.flashdrv.487,ignore,412
.ramtext.flashdrv.594,ignore,300
.ramtext.flashhal.962,ignore,228
.ramtext.flashhal.245,ignore,32
.ramtext.flashhal.302,ignore,20
.ramtext.flashhal.318,ignore,36
.ramtext.flashhal.227,ignore,18
.ramtext.flashhal.335,ignore,24
.ramtext.flashhal.449,ignore,12
.ramtext.flashhal.239,ignore,22
.ramtext.flashhal.493,ignore,10
.ramtext.flashhal.501,ignore,10
.ramtext.flashhal.509,ignore,10
.ramtext.flashhal.517,ignore,10
.ramtext.flashhal.482,ignore,10
.ramtext.flashhal.471,ignore,10
.ramtext.flashhal.460,ignore,10
.ramtext.flashhal.880,ignore,26
.ramtext.flashhal.386,ignore,36
.ramtext.flashhal.359,ignore,100
.ramtext.flashhal.428,ignore,84
.ramtext.flashhal.1041,ignore,10
.ramtext.flashhal.403,ignore,304
.ramtext.flashhal.1049,ignore,10
.ramtext.flashhal.1057,ignore,10
.ramtext.flashhal.1065,ignore,10
.ramtext.flashhal.1073,ignore,26
.ramtext.flashhal.1109,ignore,38
.ramtext.flashhal.1122,ignore,16
.ramtext.flashhal.1081,ignore,108
.ramtext.flashhal.1211,ignore,278
.ramtext.flashhal.1288,ignore,148
.ramtext.flashhal.115,ignore,68
.ramtext.flashhal.138,ignore,68
.ramtext.flashhal.161,ignore,60
.ramtext.flashhal.52,ignore,52
.ramtext.flashhal.71,ignore,60
.ramtext.flashhal.92,ignore,68
.ramtext.osi_log.423,ignore,168
.ramtext.osi_log.450,ignore,136
.ramtext.osi_log.518,ignore,36
.ramtext.osi_log.532,ignore,36
.ramtext.osi_trace.103,ignore,164
.ramtext.osi_trace.185,ignore,216
.text.atoi,text,8
.text.atol,text,8
.text.bsearch,text,70
.rodata._ctype_,rodata,257
.text.div,text,48
.text.quorem,text,294
.rodata._dtoa_r.str1.1,rodata,13
.text._dtoa_r,text,2640
.text.__env_lock,text,12
.text.__env_unlock,text,12
.text.__errno,text,12
.text._fclose_r,text,168
.text.fclose,text,16
.text.__sflush_r,text,284
.text._fflush_r,text,74
.text.fflush,text,36
.text.fileno,text,84
.text.std,text,80
.text._cleanup_r,text,12
.text.__sfmoreglue,text,44
